Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
440,Willie MacIver,28,ATH,AL,-0.2,32,111,102,7,19,5,0,3,9,3,0,7,27,0.186,0.252,0.324,0.576,59,0.259,53,33,1,2,0,0,0,1-Feb,
441,Nick Martini*,35,COL,NL,-0.2,43,111,102,9,23,4,0,1,4,0,0,9,18,0.225,0.288,0.294,0.582,56,0.267,52,30,1,0,0,0,1,D9H/7,
442,Leo Rivas#,27,SEA,AL,0.8,48,111,90,19,22,2,0,2,9,6,0,20,24,0.244,0.387,0.333,0.721,113,0.343,120,30,1,1,0,0,0,4H/6D5179,
443,Mickey Gasper#,29,MIN,AL,-0.3,45,110,95,15,15,1,0,2,11,2,0,10,20,0.158,0.257,0.232,0.488,37,0.248,44,22,1,3,1,1,0,2HD/347,
444,Michael Helman,29,TEX,AL,1,38,110,99,18,23,5,1,5,20,4,0,7,21,0.232,0.29,0.455,0.744,115,0.33,118,45,0,1,3,0,0,8/H6,
445,Austin Wynns,34,2TM,2LG,1.1,40,110,103,13,30,8,0,6,21,0,0,5,32,0.291,0.321,0.544,0.865,132,0.371,135,56,3,0,1,1,0,2/H3D,
446,Zach Dezenzo,25,HOU,AL,0.1,34,109,98,17,24,6,0,2,10,1,0,11,37,0.245,0.321,0.367,0.688,92,0.313,95,36,2,0,0,0,0,79/D3H,
447,Drew Gilbert*,24,SFG,NL,-0.3,39,109,100,12,19,5,1,3,13,1,1,7,20,0.19,0.248,0.35,0.598,70,0.267,71,35,2,1,0,1,0,9/8H7,
448,Hunter Renfroe,33,KCR,AL,-1.5,35,108,99,5,18,6,0,0,4,0,0,8,21,0.182,0.241,0.242,0.483,37,0.216,28,24,4,0,0,1,0,9/HD,
449,Jon Berti,35,CHC,NL,0.2,51,107,100,12,21,2,0,0,2,11,3,5,22,0.21,0.262,0.23,0.492,45,0.244,48,23,1,2,0,0,0,5H4/19D,
450,Carson Williams,22,TBR,AL,-0.2,32,106,99,11,17,3,0,5,12,2,1,6,44,0.172,0.219,0.354,0.573,57,0.252,54,35,3,0,1,0,0,6/H,
451,Cooper Hummel#,30,2TM,AL,-0.8,37,105,88,10,15,0,0,3,7,1,0,14,31,0.17,0.298,0.273,0.571,61,0.269,63,24,1,2,1,0,0,7H/D19,
452,Hunter Feduccia*,28,2TM,2LG,-0.5,38,105,88,5,13,5,0,0,8,1,0,15,29,0.148,0.267,0.205,0.471,36,0.227,35,18,0,0,0,2,0,2/H3D,
453,Vinny Capra,28,2TM,2LG,-0.5,47,105,96,10,12,2,0,1,6,2,0,3,25,0.125,0.157,0.177,0.334,-6,0.173,-10,17,5,1,3,2,0,56H/41D,
454,Joey Loperfido*,26,TOR,AL,0.6,41,104,96,12,32,4,0,4,14,1,2,4,27,0.333,0.379,0.5,0.879,140,0.381,150,48,2,3,1,0,0,7H/9,
455,Nick Sogard#,27,BOS,AL,0.1,30,104,96,13,25,8,0,0,9,2,1,5,24,0.26,0.317,0.344,0.661,85,0.3,88,33,3,3,0,0,0,3/54H96,
456,Miguel Amaya,26,CHC,NL,1.1,28,103,96,14,27,9,0,4,25,0,0,4,22,0.281,0.314,0.5,0.814,131,0.363,140,48,0,1,1,1,0,2/DH,
457,Enmanuel Valdéz*,26,PIT,NL,0.1,31,102,91,7,19,4,2,2,12,0,0,11,16,0.209,0.294,0.363,0.657,82,0.292,80,33,2,0,0,0,0,3/4H9,
458,Zack Gelof,25,ATH,AL,-0.1,30,101,92,12,16,3,0,2,7,1,2,7,46,0.174,0.23,0.272,0.502,39,0.24,48,25,0,0,1,1,0,4,
459,Gary Sánchez,32,BAL,AL,-0.4,29,101,91,13,21,2,0,5,24,0,0,4,27,0.231,0.297,0.418,0.715,100,0.308,97,38,2,5,0,1,0,2/D1H,
